color,size,region,x4,treatment,weight,label
blue,small,east,0.2669736057242196,0,1.0,-1.1825462909948186
red,small,south,0.774442490704564,1,1.0,-0.48472001414791244
blue,medium,south,-0.10348683940793153,1,1.0,-1.4109087466486785
green,small,east,-0.7849147514147984,0,1.0,-1.840666781711782
red,medium,east,-1.3341828825971889,0,1.0,0.024003305511075435
blue,small,west,1.0157756767477628,0,1.0,-0.7573088107405588
blue,medium,south,0.05931978782536116,1,1.0,-1.77834921262459
green,large,south,-1.3684248195657707,0,1.0,0.07337912548475622
red,small,south,-1.085264872809539,1,1.0,-1.6706762895779714
blue,medium,south,0.620659442532856,0,1.0,-0.5301305574106074
green,small,west,0.7417792374471218,1,1.0,-0.6917403680058831
red,small,north,0.5551576319944984,1,1.0,3.4053405824468284
red,medium,east,1.3196895972329594,0,1.0,0.7315133181224625
green,large,south,-0.4762980866619366,0,1.0,-0.28681656299248004
green,medium,south,-0.534700184486079,0,1.0,-1.3325133218721399
green,medium,south,0.9830445043124022,0,1.0,-0.13287920885627202
blue,large,north,2.0242321589915977,0,1.0,2.1713632327803287
green,large,south,-0.08677340222391847,1,1.0,-2.835669129621461
blue,large,west,1.572671055790585,0,1.0,1.3122086462160965
green,small,north,-1.410138655863908,1,1.0,-0.8469709528266901
red,small,south,0.39409318643013974,1,1.0,-1.2360383501356316
blue,medium,south,-0.9676026354248798,1,1.0,-2.1739160016478594
red,small,west,-0.14355984730136953,0,1.0,-0.6430618570552418
blue,large,east,-1.491905396104016,1,1.0,0.7643883483969077
blue,medium,south,1.5946789179246954,1,1.0,-2.277094239263731
blue,large,north,-0.22234062140991817,1,1.0,3.434413210549425
green,medium,south,1.6352805780806323,0,1.0,0.09976887657020067
green,small,west,0.45431791627150525,0,1.0,-0.0819908239276732
red,small,west,0.6529503930025998,0,1.0,-1.0596425380084882
blue,small,west,0.5046843961276934,0,1.0,-0.5958808125760768
green,medium,east,0.5315796369240258,1,1.0,-0.6379326259165213
red,medium,east,-0.024972358946120644,1,1.0,1.930284177713275
green,large,west,1.2555199245109823,0,1.0,1.964610720452289
red,large,north,-1.081708340566115,1,1.0,5.075694376034619
blue,medium,south,2.078588506085257,1,1.0,-1.5620765630749422
green,large,north,-0.17860040552783377,1,1.0,1.5288631648223148
red,medium,south,-0.1185100933910098,0,1.0,-1.3204564268849173
red,small,north,-1.7791392379701263,1,1.0,2.863993579671253
red,small,west,-1.2443605733315852,1,1.0,0.9504575128410926
red,large,east,-1.307050902855865,1,1.0,3.201068012142879
blue,large,east,-0.5145210395277022,0,1.0,1.1400280181054554
blue,large,west,1.3652934739634155,1,1.0,2.753926793907647
red,large,west,-1.4098475000038422,1,1.0,3.4304685643946256
blue,small,west,-0.1425370123496885,0,1.0,-0.7729906660807062
red,large,north,0.5329882583476021,1,1.0,4.757478079825885
green,large,east,-0.09380662329494269,0,1.0,1.4847543115677588
green,small,west,-0.3613199513606612,0,1.0,-0.9824202999145766
green,small,east,1.0915413474655762,1,1.0,-1.4297921222994943
red,small,west,-1.5449384544518732,0,1.0,-1.3573717649155366
blue,large,east,1.3749407253708883,0,1.0,2.12830739825354
red,small,south,1.3485631006782448,0,1.0,-1.6609783692192328
red,small,north,-2.901765661720703,0,1.0,-0.5249282995208142
green,small,east,3.0543706485090443,1,1.0,-1.3944789917923837
blue,large,west,-0.44301705833307287,0,1.0,1.249800194368036
red,medium,east,-1.5337346079413492,1,1.0,1.0693182554412373
green,small,north,1.1692821215677183,0,1.0,0.23302529766405128
blue,medium,south,-0.8914901424188013,1,1.0,-1.392047423626729
green,medium,south,0.8536086846018769,1,1.0,-3.034779113263692
red,large,west,0.6745087814548761,0,1.0,2.435985643220587
green,medium,south,-1.3452555204028427,1,1.0,-3.751502859277276
green,medium,west,-0.5783493517684112,1,1.0,-0.25199172800711633
blue,small,south,0.9539744195020802,1,1.0,-2.3670141181368054
blue,medium,north,1.2710196326099952,0,1.0,0.6736912202695756
green,large,east,-0.8262800444926051,0,1.0,0.3611019718505053
blue,large,north,-0.3906295501209633,1,1.0,3.7105948800247663
red,large,north,0.44852981921408774,0,1.0,1.5499509571776504
green,medium,south,1.1184704145269655,0,1.0,-0.6552166280475862
green,medium,west,-1.3316816642595788,0,1.0,-0.44186781740667835
blue,small,east,-0.5187038024373264,0,1.0,-1.416571231816423
red,medium,east,0.14341280315139054,1,1.0,2.0104748982749787
green,large,west,-1.6495808537304828,1,1.0,0.6794523439041978
red,medium,north,-1.4663972594946648,1,1.0,3.0800901734243764
blue,large,west,0.7960491574339662,1,1.0,2.2850116727301417
red,medium,south,-0.835563322829561,1,1.0,-0.18021707477148097
green,medium,east,-0.02111171559058922,0,1.0,0.2272277048676712
blue,large,north,-0.5470181864568057,1,1.0,3.9095983054689265
green,medium,west,-0.7867806516853881,1,1.0,0.2753166617810108
green,medium,south,-1.9025192174053056,0,1.0,-0.4079495813667716
red,large,north,-1.8499139539147436,0,1.0,1.054053568622285
red,medium,east,-0.03314732195946631,0,1.0,-0.5040261954406222
blue,medium,north,-0.44698151971239086,1,1.0,2.275035241425492
blue,small,north,-0.4709708971267993,1,1.0,1.9019189933768699
red,medium,west,0.16515771985494318,1,1.0,2.097800168745352
green,large,west,-1.7845468088514118,0,1.0,1.1287361189993759
green,medium,west,-1.4790103889261867,1,1.0,-1.1419911633908926
green,large,north,0.5161086780020495,0,1.0,1.3425744441854457
blue,large,north,-1.2242657797524745,0,1.0,2.131109432377791
red,small,north,0.6731362657652948,1,1.0,2.864160090311908
red,large,east,-0.45609813830289697,0,1.0,0.7334181702095091
red,medium,north,0.5662258887419439,0,1.0,0.9750288377025803
red,medium,east,1.3918094278335582,1,1.0,2.438620903869977
red,large,north,-0.029404000111077952,1,1.0,4.448676970900825
green,small,west,1.5794086362273054,0,1.0,0.4191637914961388
green,medium,west,1.3408975584882967,1,1.0,-0.34837957983609996
green,large,east,-1.0860197781819307,1,1.0,-0.37619205399925
red,medium,west,-0.6594582124407035,0,1.0,0.2135323654946943
red,small,north,-0.1485224492438609,1,1.0,3.341919132294751
red,medium,west,-0.7301033872931404,0,1.0,-0.17997946913842758
